municipality,publication_date,series,distribution-place,address,telephone-number,distribution-time,longitude-latitude,longitude-latitude2,longitude-latitude3,longitude-latitude4,longitude-latitude5
釧路市(A001),第07弾,2018/4/28,【平日】釧路市上下水道部 南大通庁舎経営企画課【休日】釧路市上下水道部 南大通庁舎守衛室,北海道釧路市南大通2-1-121,電話：0154-43-2169,9:00～17:00（年中無休）,144.38329 : 42.97856,,,,
釧路市(B001),第11弾,2019/12/14,阿寒湖まりむ館　観光インフォメーションセンター,北海道釧路市阿寒町阿寒湖温泉2丁目6-20,電話：0154-67-3200(問合せ先)釧路市上下水道部経営企画課電話：0154-43-2169,9:00～18:00,144.09703 : 43.4328,,,,
釧路市(C001),第22弾,2024/4/26,ルート38音別館 おんぽーと,北海道釧路市音別町本町1-51,電話:01547-6-2532（問合せ先）釧路市上下水道部経営企画課電話:0154-43-2169,9：00～17：00ただし、年末年始（12月31日～1月3日）はお休みです,143.93324 : 42.88988,,,,
帯広市,第11弾,2019/12/14,とかち観光情報センター,北海道帯広市西2条南12丁目 エスタ帯広東館2階,電話：0155-23-6403,9:00～17:00ただし、年末年始(12月29日～1月3日)はお休みです,143.20253 : 42.91856,,,,
北見市（A001）,第02弾,2016/8/1,【平日】北見市上下水道局給排水課窓口【休日】北見市上下水道局当直室,北海道北見市中ノ島町1-4-1（北見市上下水道局庁舎内）,電話：0157-25-1177,【平日】8:45～17:30【休日】9:00～17:00ただし年末年始（12/29～1/3）は休日同様に配布致します※休日は閉庁のため、庁舎正面の道を進んでいただき、職員専用玄関のインターホンでお呼び出しください,143.89394 : 43.79689,,,,
北見市（B001）,第10弾,2019/8/7,【平日】北見市上下水道局常呂上下水道課窓口（北見市役所常呂総合支所内）【休日】北見市役所　常呂総合支所　当直室,北海道北見市常呂町字常呂323番地,【平日】電話：0152-54-2116【休日】電話：0157-25-1177,【平日】8：45～17：30【休日】8：45～17：30,144.07336 : 44.12042,,,,
留萌市,第13弾,2020/12/17,【水曜日以外】留萌プラザ2F　まちなか賑わい 【水曜日】留萌市役所上下水道課分庁舎1階,【水曜日以外】北海道広場留萌市開運町3丁目4番11号 【水曜日】北海道留萌市幸町1丁目11番地,電話：0164-56-4382 【水曜日】電話：0164-42-2049,【水曜日以外】10:00〜18:00※年末年始(12/31~1/5)はお休みです【水曜日】8:50〜17:20※年末年始(12/29〜1/3)はお休みです,141.50067 : 42.94985,141.63734 : 43.94105,,,
苫小牧市,第4弾,2017/4/3,【平日】苫小牧市役所上下水道部下水道課【休日】ふれんどビル1階,【平日】北海道苫小牧市旭町4-5-6【休日】苫小牧観光案内所北海道苫小牧市表町5-11-5,電話：0144-34-2000（問い合わせ先）苫小牧市役所 上下水道部 下水道課電話：0144-32-6592（平日8:45～17:15まで）,【平日】8:45～17:15【休日】9:30～18:00ただし、年末年始（12/29～1/3）はお休みです,141.60538 : 42.63413,141.6055 : 42.63409,,,
稚内市(A001),第04弾,2017/4/3,【平日】稚内市役所 環境水道部 水道施設課【休日】稚内市役所 警備室,北海道稚内市中央3-13-15,【平日】電話：0144-32-6592【休日】電話：0162-23-6509,8：45～17：30,141.67303 : 45.41512,,,,
稚内市(B001),第17弾,2022/8/6,北海道稚内市樺太記念館,北海道稚内市港1丁目6－28　稚内副港市場2階,電話：0162-73-6066,10:00～16:40※以下の休館日にご注意ください。4月～10月　無休11月～3月　毎週月曜日（月曜日が祝日の場合は翌平日）及び、年末年始（12月31日から1月5日）,141.67635 : 45.40872 ,,,,
芦別市,第5弾,2017/8/1,芦別市観光物産センター（道の駅スタープラザ芦別内）,北海道芦別市北4条東1-1,電話：0124-23-1437（問い合わせ先）芦別市経済建設部 上下水道課電話：0124-27-7583,【4月、10月】9:00～18:00【５月～9月】 9:00～19:00【11月～3月】9:00～17:00ただし、年末年始（12/31～1/3）はお休みです。※このほか閉館時間等が変更になる場合がありますので、あらかじめ、道の駅のホームページをご確認ください。,142.18835 : 43.52518,,,,
江別市,第5弾,2017/8/1,EBRI内 江別アンテナショップGET'S,北海道江別市東野幌町3-3,電話：011-398-9558（問い合わせ先）江別市水道部 総務課電話：011-385-1213,10:00～19:00ただし、年末年始はお休みです,141.53352 : 43.0948,,,,
赤平市,第10弾,2019/8/7,情報発信基地 AKABIRAベース,北海道赤平市幌岡町54,電話：0125-32-6760（問い合わせ先）赤平市役所 上下水道課電話：0125-32-2218,【１〜４月】10:00〜17:00（火・水曜定休）【５〜６月】10:00〜18:00（火曜定休）【７〜９月】10:00〜18:00（無休）【１０月】10:00〜17:00（火曜定休）【１１〜１２月】10:00〜17:00（火・水曜定休）,142.03525 : 43.57805,,,,
紋別市,第3弾,2016/12/1,【平日】紋別市役所 水道部事業課 下水道施設係【休日】紋別市役所 当直室,北海道紋別市幸町2-1-18,電話：0158-24-2111,8:45～17:30,143.35413 : 44.35633,,,,
士別市,第23弾,2024/7/26,道の駅「羊のまち　侍・しべつ」,北海道士別市大通東5丁目440番地23,電話:0165-26-7353,【5月～10月】9：00～18：00【11月～4月】10：00～17：00ただし、年末年始（12月31日～1月3日）はお休みです,142.39265 : 44.17633,,,,
名寄市,第10弾,2019/8/7,道の駅「もち米の里☆なよろ」,北海道名寄市風連町西町334番地1,電話：01655-7-8686（問い合わせ先）北海道名寄市建設水道部上下水道室業務課電話：01655-3-2511,9:00～18:00ただし、元日（1/1）はお休みです。,142.41183 : 44.28738,,,,
名寄市,第12弾,2020/4/25,なよろ観光まちづくり協会（駅前交流プラザ「よろーな」内）,北海道名寄市東1条南7丁目1番地10,電話:01654-9-4607(問合せ先)北海道名寄市建設水道部上下水道室業務課電話:01655-3-2511,【平日】9:00～17:30【土日祝日】9:00～17:00ただし、年末年始はお休みですまた各種イベント・行事等により臨時休業する場合があります。,142.46432 : 44.34913,,,,
千歳市,第18弾,2023/1/28,【平日】千歳市水道局庁舎2F経営管理課総務係窓口,北海道千歳市東雲町3丁目2番地5,電話：0123-24-3270【休日】千歳市水道局庁舎1F管理員室,9:00～17:00,141.65196 : 42.82198,,,,
滝川市,第11弾,2019/12/14,たきかわ観光国際スクエア,北海道滝川市栄町4丁目9−1,電話:0125-28-8031,9：00～17：00ただし、年末年始（12/29～1/3）はお休みです,141.90141 : 43.55569,,,,
砂川市,第8弾,2018/8/11,【平日】砂川市役所 土木課窓口【休日】砂川市役所 当直室,北海道砂川市西6条北3丁目1番1号,電話：0125-54-2121,8:30～17:15,141.90353 : 43.49474,,,,
深川市,第16弾,2022/1/15,道の駅ライスランドふかがわ １階総合案内所,北海道深川市音江町字広里59番7,電話：0164-26-3636(問合せ先)深川市上下水道課電話：0164-26-2365,10:00～16:00ただし、年末年始（12/31～1/2）はお休みです,142.07095 : 43.70107,,,,
富良野市,第11弾,2019/12/14,富良野市役所1階 総合窓口,北海道富良野市弥生町1番1号,電話：0167-39-2317,9:00〜17:00,142.38083 : 43.34333,,,,
登別市,第8弾,2018/8/11,登別市役所都市整備部 下水道グループ,北海道登別市中央町6丁目11番地,電話：0143-85-9052,9:00～17:30ただし、年末年始はお休みです,141.10649 : 42.41294,,,,
恵庭市(A001),第5弾,2017/8/1,道と川の駅 花ロードえにわ,北海道恵庭市南島松817-18,電話：0123-37-8787（問い合わせ先）恵庭市水道部下水道課電話：0123-33-3127,【4～10月】9:00～18:00【11～3月】9:00～17:00ただし、年末年始（12/31～1/2）と、清掃日（12月のうち1日）はお休みです,141.58411 : 42.89746,,,,
恵庭市(C001),第21弾,2023/12/15,花の拠点（はなふる）「センターハウス」,北海道恵庭市南島松828-3,（問合せ先）恵庭市水道部下水道課電話:0123-33-3127,9：00～17：00ただし、年末年始（12月28日～1月3日）はお休みです,141.58792 : 42.89827,,,,
北広島市(A001),第06弾,2017/12/9,エルフィンパーク市民サービスコーナー,北海道北広島市中央6-209,電話：011-376-8880,【平日】7:30～19:30【休日】9:00～17:00ただし、毎月第3日曜日、年末年始（12/29～1/3）はお休みです,141.56509 : 42.97716,,,,
北広島市(B001),第21弾,2023/12/15,HUB HOKKAIDO SELECT SHOP,北海道北広島市Fビレッジ1番地 THELODGE2階,電話:080-4323-8935（問合せ先）北広島市水道部下水道課電話:011-372-3311,【3月～10月】10：00～19：00【11月～2月】10：00～18：00※令和6〜7年は12/30日〜1/1は10:00～17：00となります※令和7年は、1/6(月)～8日(水)、および１〜２月は1/8以降の毎週水曜日は休業日です※営業時間、休業日については、変更となる場合がありますので、HOKKAIDO BALL PARK FVILLAGEの公式サイトでご確認ください,141.55086 : 42.99017,,,,
石狩市(A001),第6弾,2017/12/9,道の駅石狩 あいろーど厚田,北海道石狩市厚田区厚田98-2,電話：0133-78-2300,10:00～16:00,141.48114 : 43.47877,,,,
石狩市(B001),第25弾,2025/04/25,石狩市観光センター「ゆめぽーと」,北海道石狩市親船町107番地,電話：0133-62-4611,【4月～10月】8:45～18:00【11月～3月】8:45～17:15ただし、年末年始(12月29日～1月3日)はお休みです,141.341063 : 43.235240,,,,
北斗市,第8弾,2018/8/11,北斗市観光交流センター内 北斗市観光案内所（1階）,北海道北斗市市渡1丁目1番1号,電話：0138-84-1147（問い合わせ先）北斗市役所上下水道課電話：0138-73-3111（内線245）,9:00～18:00ただし、年末年始（12/31～1/3）は9：00～15：00,140.64717 : 41.90522,,,,
当別町,第10弾,2019/8/7,北欧の風 道の駅とうべつ,北海道石狩郡当別町当別太774番地11,電話：0133-27-5260（問い合わせ先）当別町役場上下水道課電話：0133-22-2411,【1月～2月】10：00～16：00ただし、水曜日、年末年始（1/1～1/2）はお休みです。【3月～12月】9：00～17：00ただし、年末年始（12/30～12/31）はお休みです。,141.44614 : 43.17779,,,,
木古内町,第2弾,2016/8/1,道の駅みそぎの郷 きこない 観光案内所,北海道上磯郡木古内町字本町338-14,電話：01392-2-3161,9:00～18:00ただし年末年始はお休みです,140.43459 : 41.67733,,,,
上ノ国町,第13弾,2020/12/17,道の駅上ノ国もんじゅ,北海道檜山郡上ノ国町字原歌3番地,電話：0139-55-3955,9：00～17：00ただし、12月31日～1月5日はお休みです,140.09624 : 41.80222,,,,
岩内町,第6弾,2017/12/9,道の駅いわない ガイドセンター たら丸館,北海道岩内郡岩内町字万代47-4,電話：0135-63-1155（問い合わせ先）岩内町役場建設水道部 上下水道課電話：0135-67-7093,【4～10月】9:00～18:00【11～3月】9:00～17:30ただし、以下は休館日のため配布はお休みです月曜日（11/1～4/20まで）※月曜日が祝日の場合はその翌日年末年始（12/31～1/5）,140.51671 : 42.98391,,,,
古平町,第10弾,2019/8/7,古平町総合施設「かなえーる」（古平町役場内）,北海道古平郡古平町大字浜町50番地,電話：0135-42-2181,8:45～17:30,140.56113 : 43.17514,,,,
奈井江町,第6弾,2017/12/9,奈井江町交流プラザみなクル,北海道空知郡奈井江町字奈井江町74番地,電話:0125-74-5574,9:00～18:00,141.8934 : 43.42385,,,,
東神楽町,第11弾,2019/12/14,【平日】東神楽町役場建設水道課,北海道上川郡東神楽町南１条西１丁目３番２号,電話：0166-83-5414【休日】東神楽町役場守衛室,【平日】8：30～17：15【休日】8：30～17：15,142.45128 : 43.69649,,,,
当麻町,第18弾,2023/1/28,【火曜日以外】当麻町郷土資料館ここから【火曜日】当麻町役場まちづくり推進課,【火曜日以外】北海道上川郡当麻町4条南3丁目1番41号【火曜日】北海道上川郡当麻町3条東2丁目11番1号,【火曜日以外】電話：0166-56-1123【火曜日】電話：0166-84-2111,【火曜日以外】10：00～19：00※年末年始（12/29～1/5）はお休みです【火曜日】8：30～17：15※年末年始（12/29～1/5）はお休みです,142.51541 : 43.82455,142.50591 : 43.82751,,,
上富良野町,第15弾,2021/8/17,【平日】上富良野町役場建設水道課【休日】上富良野町役場警備室,北海道空知郡上富良野町大町2丁目2番11号,電話：0167-45-6982,8：30～17：15ただし、年末年始（12月31日～1月5日)はお休みです,142.46693 : 43.45555,,,,
南富良野町,第12弾,2020/4/25,【平日】南富良野浄化センター【土日】保健福祉センター（みなくる）管理人室,【平日】北海道南富良野町字幾寅505番地5【土日】北海道南富良野町字幾寅708番地1,【平日】電話:0167-52-2524【土日】電話:0167-52-2211,【平日】 8:30～17:15【土曜】 9:00～17:00【日曜】13:00～17:00,142.58327 : 43.15821,142.58327 : 43.15821,,,
和寒町,第5弾,2017/8/1,【平日】和寒町役場 産業振興課【休日】和寒町役場 守衛室,北海道上川郡和寒町字西町120,電話：0165-32-2423【平日休日】わっさむ町食と観光情報案内所北海道上川郡和寒町字北町200番地,【和寒町役場】8:30～17:15（年中無休）ただし、災害時など緊急の場合は除きます【わっさむ町食と観光情報案内所】9:00～17:00ただし、毎週月曜日及び年末年始はお休みです（役場で配布しております）,142.41182 : 44.02424,,,,
剣淵町,第5弾,2017/8/1,【水曜日以外】絵本の館【水曜のみ】剣淵町役場 建設課窓口,【水曜日以外】北海道上川郡剣淵町緑町15-3【水曜のみ】北海道上川郡剣淵町仲町37-1,【水曜日以外】電話：0165-34-2624【水曜のみ】電話：0165-26-9024    （問い合わせ先）剣淵町役場 建設課 上下水道グループ電話：0165-26-9024,10:00～17:00ただし、イベント等により水曜日も開館している場合があります※年末年始（12/30～1/4）はお休みです,142.35854 : 44.0994,142.36247 : 44.09885,,,
天塩町(A001),第09弾,2018/12/14,天塩町ファミリースポーツセンター,北海道天塩郡天塩町字川口5702番地の1,電話：01632-2-1873,10:00～17:00,141.75768 : 44.92402,,,,
天塩町(B001),第17弾,2022/8/6,【平日】天塩町役場建設課(２F)【土日祝日】天塩町役場当直室(１F),北海道天塩郡天塩町新栄通8丁目,電話：01632-2-1001,【平日】9:00～17:00【土・日・祝】10:00～17:00ただし、年末年始はお休みです。,141.7448 : 44.88817,,,,
天塩町(C001),第22弾,2024/4/26,てしお温泉「夕映」,北海道天塩郡天塩町サラキシ5807番地4,電話:01632-2-3111（問合せ先）天塩町役場　建設課　下水道係電話:01632-2-1001,【平日】11：00～17：00【土・日・祝】10：00～17：00ただし、年末年始（12/31～1/5）はお休みです温泉清掃などによる休館日がありますので、ホームページをご確認ください,141.82053 : 44.98417,,,,
豊富町(A001),第8弾,2018/8/11,【平日】豊富町役場 建設課 上下水道係窓口【休日】豊富町役場宿直室（役場裏玄関）,北海道天塩郡豊富町字豊富大通6丁目,電話：0162-82-1001,9:00～17:00※12時～13時のお昼休み、年末年始は配布致しません。,141.77731 : 45.10275,,,,
豊富町(B001),第12弾,2020/4/25,湯の杜ぽっけ,北海道天塩郡豊富町字温泉,電話:0162-73-6850,9:00～17:00※12時～13時のお昼休み、年末年始は配布致しません。※11月～3月の休館日（月曜日、月曜日が祝日の場合は翌日）は、豊富町役場建設課上下水道係にて配布します年末年始はお休みです,141.82574 : 45.07904,,,,
豊富町(C001),第14弾,2021/4/25,豊富町定住支援センター（ふらっと★きた）,北海道天塩郡豊富町字豊富東1条6丁目,電話：0162-82-2211,9時～17時※12時～13時のお昼休み、年末年始は配布致しません。,141.7787 : 45.10292,,,,
豊富町(D001),第17弾,2022/8/6,豊富町観光情報センター,北海道天塩郡豊富町字豊富駅前通（JR豊富駅となり）,電話：0162-82-2100,9:00～17:00(12：00～13：00を除く)※12時～13時のお昼休み、年末年始は配布致しません。,141.77284 : 45.10487,,,,
利尻町,第12弾,2020/4/25,利尻町役場,北海道利尻郡利尻町沓形字緑町14番地1,電話:0163-84-2345,【平日】9:00～17:00【休日】9:00～12:00ただし、年末年始（12/31～1/5）はお休みです,141.14882 : 45.18752,,,,
斜里町,第17弾,2022/8/6,道の駅 うとろ・シリエトク,北海道斜里郡斜里町ウトロ西186-8,(問合せ先)斜里町役場　水道課　事業係電話：0152-26-8385,9：00～17：00ただし、年末年始(12/29～1/3)はお休みです※道の駅 うとろ・シリエトクの営業時間に準じます。※閉館時間が変わることがありますので道の駅HPをご確認ください,144.99231 : 44.06751,,,,
遠軽町,第23弾,2024/7/26,遠軽町芸術文化交流プラザ-メトロプラザ,北海道紋別郡遠軽町岩見通南1丁目1-2,電話:0158-46-7151,9：00～17：00※12時～13時のお昼休み、配布場所が休館している場合は配布しておりません※7月26日は10：00～17：00となります,143.52074 : 44.05952,,,,
滝上町,第22弾,2024/4/26,道の駅香りの里たきのうえ,北海道紋別郡滝上町旭町,電話:0158-29-3300（問合せ先）滝上町役場　農林建設課上下水道係電話:0158-29-2111,9：00～17：30ただし、年末年始（12月30日～1月3日）、9月30日、3月31日はお休みです,143.08437 : 44.19675,,,,
雄武町,第18弾,2023/1/28,道の駅おうむ,北海道紋別郡雄武町雄武1885番地14,電話：0158-84-2403(問合せ先)雄武町役場上下水道課下水道係電話：0158-84-2121※1月30日より配布開始します,9:00～17:00※1月30日より配布開始します,142.95883 : 44.58352,,,,
安平町,第14弾,2021/4/25,道の駅あびらＤ５１ステーション,北海道勇払郡安平町追分柏が丘49-1,電話:0145-29-7751(問合せ先)安平町役場建設課土木・公園グループ電話：0145-29-7075（直通）,夏期(4月～10月) 9：00～18：00冬期(11月～3月) 9：00～17：00ただし、年末年始（12/31～1/3）はお休みです※このほか臨時休館になる場合がありますので、あらかじめ道の駅ホームページをご確認のうえご来館ください,141.81654 : 42.87599,,,,
浦河町,第10弾,2019/8/7,【平日】浦河町役場 上下水道課【休日】浦河町役場 警備室,北海道浦河郡浦河町築地1丁目3番1号,電話：0146-22-2554,【平日休日】9：00～17：15,142.76837 : 42.16845,,,,
音更町,第11弾,2019/12/14,ガーデンスパ十勝川温泉,北海道河東郡音更町十勝川温泉北14丁目1,電話：0155-46-2447(問合せ先)音更町役場建設水道部上下水道課北海道河東郡音更町元町2番地電話：0155-42-2111,9:00〜17:00,143.30074 : 42.93336,,,,
新得町,第25弾,2025/04/25,平日】新得町役場施設課窓口【休日】新得町役場警備員室,北海道上川郡新得町3条南4丁目26番地,電話:0156-64-0529（問合せ先）新得町役場施設課上下水道係電話:0156-64-0529,8:30～17:15,142.838822 : 43.079741,,,,
足寄町,第10弾,2019/8/7,【平日】　足寄下水終末処理場【土日祝日】　足寄町役場裏警備員室,北海道足寄郡足寄町共栄町120-5,電話：0156-25-9070,【平日】　9：00～17：00【土日祝日】　8：35～17：05ただし、年末年始（12月29日～1月3日）はお休みです,143.58 : 43.22349,,,,
足寄町(B001),第18弾,2023/1/28,【平日】足寄町役場２階建設課上下水道室【土日祝日】足寄町役場警備員室,北海道足寄郡足寄町北1条4丁目48番地1,電話：0156-28-3868,【平日】8:35～17:05【土日祝日】8:35～17:05ただし、年末年始（12月29日～1月3日）はお休みです,143.5547 : 43.24472,,,,
陸別町,第7弾,2018/4/28,【平日】陸別町役場 建設課【休日】陸別町役場 警備室,北海道足寄郡陸別町字陸別東1条3-1,電話：0156-27-2141,9:00～17:00,143.74727 : 43.46919,,,,
別海町,第11弾,2019/12/14,【平日】別海町役場建設水道部上下水道課【休日】別海町役場警備室,北海道野付郡別海町別海常盤町280番地,電話：0153-75-2111,午前8時45分～午後5時30分,145.11957 : 43.39537,,,,
青森市,第5弾,2017/8/1,「道の駅」浅虫温泉 ゆ～さ浅虫,青森県青森市大字浅虫字螢谷341-19,電話：017-737-5151（問い合わせ先）青森市水道部総務課電話：017-734-4201,4月～11月 9：00～19：0012月～3月 9：00～18：00（年中無休）,140.86153 : 40.89091,,,,
弘前市,第9弾,2018/12/14,弘前市緑の相談所,青森県弘前市下白銀町1-1,電話：0172-33-8737（問い合わせ先）弘前市上下水道部総務課電話：0172-55-9660,9:00～17:00ただし、11/24～3/31の月曜日（月曜日が祝日の場合は開館）、祝日の翌日、年末年始(12/29～1/3)はお休みです。,140.46602 : 40.60608,,,,
五所川原市,第11弾,2019/12/14,立佞武多の館,青森県五所川原市字大町506-10,電話：0173-38-3232(問合せ先)五所川原市役所経営管理課下水道管理係0173-35-2111　内線2720,【4月～9月】　9:00～19:00【10月～3月】　9:00～17:00ただし、1月1日はお休みです,140.44531 : 40.80981,,,,
十和田市,第9弾,2018/12/14,十和田市観光物産センター,青森県十和田市稲生町15-3（アートステーショントワダ内）,電話：0176-24-3006,9:00～19:00ただし、1/1はお休みです,141.21298 : 40.61439,,,,
三沢市,第11弾,2019/12/5,SkyPlazaMISAWA（スカイプラザミサワ）,青森県三沢市中央町２丁目8-34,電話：0176-51-1712(問合せ先)三沢市役所　下水道課0176-53-5111（内線335・378）,10時から20時ただし、1月1日はお休みです,141.36522 : 40.68507,,,,
むつ市,第23弾,2024/7/26,北の防人大湊 安渡館,青森県むつ市桜木町3番1号,電話:0175-29-3101（問合せ先）むつ市上下水道局下水道課電話:0175-28-3233,10：00～20：00ただし、12月31日、1月1日はお休みです,141.1382 : 41.25626,,,,
三戸町,第17弾,2022/8/6,【平日】三戸町役場建設課【土日祝日】道の駅さんのへ,【平日】青森県三戸郡三戸町大字在府小路町43【土日祝日】青森県三戸郡三戸町大字川守田字西張渡39-1,【平日】電話：0179-20-1154【土日祝日】電話：0179-22-0600,【平日】8：15～17：00【土日祝日】9:00～18:00（夏・冬期間変更あり）ただし、年末年始はお休みです,141.25876 : 40.37848,141.25539 : 40.38733,,,
南部町,第21弾,2023/12/15,【1】南部町いちょうホール【2】南部公民館,【1】青森県三戸郡南部町大字平字広場28番地1【2】青森県三戸郡南部町大字沖田面字沖中51番地２,【1】電話:0178-38-5970【2】電話:0179-34-2800,(1)9：00～21：00ただし、年末年始(12月29日から翌年の1月3日まで)はお休みです(2)9：00～21：00ただし、毎月第3日曜日、国民の祝日、年末年始(12月29日から翌年の1月3日まで)はお休みです,141.34218 : 40.40588,141.28247 : 40.42006,,,
岩手県（流域下水道）,第10弾,2019/8/7,いわて・盛岡広域観光センター,岩手県盛岡市盛岡駅前通1-48　盛岡駅舎２階,（問い合わせ先）岩手県県土整備部下水環境課電話：019-629-5899,9：00～17：30ただし、年末年始（12/30～1/3）の配布は行いません,141.13716 : 39.70108,,,,
盛岡市(A001),第12弾,2020/4/25,もりおか歴史文化館,岩手県盛岡市内丸１番50号,電話:019-681-2100(問合せ先)盛岡市上下水道局経営企画課電話:019-623-1441,【4月～10月】9:00～19:00【11月～3月】9:00～18:00ただし、休館日（毎月第３火曜日（祝休日の場合は翌日）と年末年始（12月31日～１月１日））の配布は行いませんまた、臨時休館する場合があるので，ホームページ等で御確認ください,141.14915 : 39.69899,,,,
盛岡市(B001),第23弾,2024/7/26,パルクアベニュー・カワトク,岩手県盛岡市菜園一丁目10-1,電話:019-651-1111,10:00～19:00(年末年始は異なります)ただし、１月１日と年数回のお休みがあります,141.14699 : 39.70075,,,,
宮古市(A001),第13弾,2020/12/17,道の駅・みなとオアシスみやこ,岩手県宮古市臨港通1-20,電話：0193-71-3100（問合せ先）宮古市上下水道部施設課電話：0193-71-2299,9:00～17:00ただし、年末年始はお休みです,141.97011 : 39.639,,,,
宮古市(B001),第15弾,2021/8/17,道の駅たろう　たろう潮里ステーション,岩手県宮古市田老二丁目5－1,電話：0193-77-3305（問合せ先）宮古市上下水道部施設課電話：0193-71-2299,9:00～17:00,141.97137 : 39.73582,,,,
花巻市（A001）,第3弾,2016/12/1,【平日】花巻市役所 建設部 下水道課【休日】花巻市役所本庁舎警備員室（本庁舎1階守衛室）,岩手県花巻市花城町9-30（市役所新館2階）,電話：0198-24-2111,【平日】8:30～17:15【休日】9:00～17:00ただし、年末年始（12/29～1/3）はお休みです,141.11687 : 39.38897,,,,
花巻市（B001）,第8弾,2018/8/11,花巻市役所石鳥谷総合支所,岩手県花巻市石鳥谷町八幡4-161,電話：0198-45-2111（内線251）,【平日】8:30～17:15【休日】9:00～17:00ただし、12/29～1/3はお休みです,141.15054 : 39.47228,,,,
花巻市（C001）,第9弾,2018/12/14,花巻市役所大迫総合支所,岩手県花巻市大迫町大迫2-51-4,電話：0198-48-2111(内線155),【平日】8:30～17:15【休日】9:00～17:00ただし、年末年始(12/29～1/3)はお休みです,141.28596 : 39.47218,,,,
花巻市(D001),第11弾,2019/12/14,【平日】花巻市東和総合支所 地域振興課【休日】花巻市東和総合支所 警備員室,岩手県花巻市東和町土沢8区60番地,電話：0198-42-2111（内線342）,【平日】8:30～17:15【休日】9:00～17:00ただし、年末年始（12/29～1/3)はお休みです,141.22835 : 39.38703,,,,
北上市,第22弾,2024/4/26,展勝地レストハウス,岩手県北上市立花14地割21-1,電話:0197-64-2110（問合せ先）北上市都市整備部下水道課電話:0197-72-8292,10：00～17：00ただし、月曜日(祝日の場合は翌日)はお休みです,141.1277 : 39.27992,,,,
